Price,Year,Mileage,Region,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_region,max_price_region,min_price_region,std_price_region,mean_price_sc,max_price_sc,min_price_sc,std_price_sc,mean_price_mm,max_price_mm,min_price_mm,std_price_mm
8995,2014,35725,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,15216.526315789473,47995,4500,13410.126577281566,16240.052631578947,20300,8995,3432.3391679352867
10888,2013,19606,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,22805.416666666668,42500,6300,9378.55467809406,17214.413636363635,23887,8924,2073.3110178524844
8995,2013,48851,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,15216.526315789473,47995,4500,13410.126577281566,16240.052631578947,20300,8995,3432.3391679352867
10999,2014,39922,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,24438.7,34899,10999,5873.711792474387,17214.413636363635,23887,8924,2073.3110178524844
14799,2016,22142,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,21163.285714285714,34199,3999,9454.718573109583,22464.898395721924,33995,14799,2714.9102690864306
7989,2012,105246,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,22808.206896551725,47955,4850,9267.531582932606,11397.42,20000,3900,4149.335277920354
14490,2014,34032,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,17090.714285714286,24590,11890,4174.486424072056,18506.054545454546,22495,14490,1861.1912694331393
13995,2013,32384,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,18195.0,20995,13995,3009.983388658482,17910.729559748426,23600,12290,2099.876119569538
10495,2013,57596,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,15256.052631578947,33995,6950,6742.1537893538325,16240.052631578947,20300,8995,3432.3391679352867
9995,2013,63887,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,15216.526315789473,47995,4500,13410.126577281566,17214.413636363635,23887,8924,2073.3110178524844
12921,2012,58550,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,23284.933333333334,48999,5300,11501.44016116905,11397.42,20000,3900,4149.335277920354
12000,2013,40527,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,22805.416666666668,42500,6300,9378.55467809406,17214.413636363635,23887,8924,2073.3110178524844
7750,2009,91980,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,22071.975308641977,49711,5999,9971.232062758478,11352.45581395349,19900,4990,2640.7577171877883
17628,2015,13797,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,18203.333333333332,31437,5545,12955.584600215203,17214.413636363635,23887,8924,2073.3110178524844
13999,2013,35035,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,16606.125,26499,7499,5057.107116062832,17910.729559748426,23600,12290,2099.876119569538
14995,2014,23454,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,16915.0,24995,4295,5765.414122159829,17214.413636363635,23887,8924,2073.3110178524844
