Price,Year,Mileage,City,State,Vin,Make,Model
13495,2013,8550,West Jordan, UT,YV1612FS8D2221748,Volvo,S60T5
9950,2009,34146,Waldorf, MD,YV1RS592692739131,Volvo,S604dr
13979,2012,7252,Inglewood, CA,YV1622FS2C2099576,Volvo,S60FWD
15499,2014,9747,Montebello, CA,YV1612FS0E1292661,Volvo,S60T5
10995,2013,57178,West Jordan, UT,YV1612FS4D1216519,Volvo,S60T5
5549,2009,93515,Madison, GA,YV1RS592392734615,Volvo,S602.5T
17900,2015,17618,North Haven, CT,YV126MFJ7F1352469,Volvo,S602015.5
11499,2010,34728,Lindon, UT,YV1992AH6A1123062,Volvo,S804dr
6991,2006,67263,West Palm Beach, FL,YV1MW382862173036,Volvo,V502.4L
4995,2008,92911,Atlanta, GA,YV1RS592382681347,Volvo,S604dr
6987,2007,93781,Cathedral City, CA,YV1MW390772293893,Volvo,V504dr
14999,2014,25582,Dumfries, VA,YV1612FS7E2292117,Volvo,S60T5
5500,2005,80724,Chantilly, VA,YV1RS592552437677,Volvo,S602.5L
6995,2009,93618,Manassas, VA,YV1MW382992484236,Volvo,V504dr
14993,2014,37562,Miami, FL,YV1952AS9E1181101,Volvo,S803.2L
5488,2005,81626,Springfield, VA,YV1RS592552428042,Volvo,S602.5L
15795,2012,33465,San Diego, CA,YV1940AS4C1152979,Volvo,S804dr
6995,2008,72655,Morristown, NJ,YV1RS592182686482,Volvo,S604dr
5997,2006,87940,Savannah, GA,YV1MW382362172182,Volvo,V502.4L
9000,2012,106572,Sherwood, AR,YV1622FS5C2086403,Volvo,S60FWD
10000,2009,77193,Springfield, OR,YV1AS982X91106269,Volvo,S804dr
12713,2014,55814,Fallston, MD,YV1612FS0E2294145,Volvo,S60T5
11967,2011,63876,Greensboro, NC,YV1952AS0B1135295,Volvo,S804dr
12000,2010,46887,Lisle, IL,YV1982AS9A1132711,Volvo,S804dr
15800,2012,14013,Bridgewater, NJ,YV1622FS2C2057652,Volvo,S60FWD
10499,2011,73799,Miami, FL,YV1672MW9B2612828,Volvo,V504dr
12803,2013,49232,West Palm Beach, FL,YV1612FS4D2200167,Volvo,S604dr
11995,2012,58403,Blauvelt, NY,YV1622FS5C2135681,Volvo,S60FWD
13995,2015,52384,Allentown, PA,YV126MFJ8F1357969,Volvo,S602015.5
9977,2009,65684,Wellesley, MA,YV1AS982491089209,Volvo,S804dr
4995,2005,75592,Melrose Park, IL,YV1RS592152455528,Volvo,S602.5L
8750,2008,71471,Brea, CA,YV1MW390082426804,Volvo,V504dr
13481,2012,50473,Orland Park, IL,YV1622FS4C2139656,Volvo,S60T5
6995,2006,72034,Rockville, MD,YV1RH592862518298,Volvo,S602.5L
4995,2008,103100,Naugatuck, CT,YV1RS592582697467,Volvo,S604dr
4999,2007,109108,Honolulu, HI,YV1MW382372304052,Volvo,V504dr
10000,2012,94129,Dallas, TX,YV1622FS1C2036565,Volvo,S60FWD
9664,2011,62149,Fredericksburg, VA,YV1672MS2B2537855,Volvo,S404dr
13991,2013,43367,Miami, FL,YV1612FS3D2180106,Volvo,S60T5
11950,2012,54664,Sacramento, CA,YV1622FS0C2140044,Volvo,S60FWD
15995,2014,23625,Doral, FL,YV1612FS3E1287177,Volvo,S60T5
8500,2009,97616,Alexandria, VA,YV1AS982391094854,Volvo,S804dr
7999,2009,77604,Spokane, WA,YV1RS592X92732859,Volvo,S604dr
9999,2011,89825,Downingtown, PA,YV1940AS3B1139980,Volvo,S804dr
7500,2006,44136,San Francisco, CA,YV1MH682962170478,Volvo,S402.5L
14689,2013,40349,Hamilton, NJ,YV1612FS1D2187748,Volvo,S60T5
14491,2014,50825,Alexandria, VA,YV1612FS8E2293129,Volvo,S60T5
6999,2007,88283,Falls Church, VA,YV1MW382872276331,Volvo,V504dr
10990,2012,69071,Alpharetta, GA,YV1622FS0C2054913,Volvo,S60FWD
3499,2004,90946,West Scaramento, CA,YV1RS59V542400959,Volvo,S602.5L
8500,2011,105425,Midlothian, VA,YV1672MW7B2605733,Volvo,V504dr
9900,2012,92822,Neptune, NJ,YV1622FS2C2087511,Volvo,S60FWD
9995,2009,81179,Rockville, MD,YV1MW382892470473,Volvo,V504dr
12561,2012,61125,Arlington, MA,YV1622FS7C2046369,Volvo,S60FWD
14999,2014,39582,West Palm Beach, FL,YV1612FS9E1285966,Volvo,S60T5
7641,2007,82908,Falls Church, VA,YV1MW382672274982,Volvo,V504dr
8555,2009,87067,Fort Washington, PA,YV1AS982191094965,Volvo,S804dr
6493,2009,104542,Miami, FL,YV4CY982491497168,Volvo,XC90FWD
5500,2005,108625,Hurricane, WV,YV1MJ682552062118,Volvo,V502.5L
11659,2012,78271,Bellevue, WA,YV1622FS0C2145857,Volvo,S60FWD
8500,2007,69017,Hingham, MA,YV1RH592972636359,Volvo,S604dr
7950,2009,97397,Brea, CA,YV1MW390892469269,Volvo,V504dr
13792,2012,52460,South Portland, ME,YV1622FS0C2119825,Volvo,S60FWD
14499,2013,39305,Florence, KY,YV1612FS3D1223283,Volvo,S60T5
6975,2009,99068,South River, NJ,YV1AH992291089951,Volvo,S804dr
7999,2008,78207,Marrieta, GA,YV1AS982581050417,Volvo,S804dr
11888,2010,48609,Dallas, TX,YV1960AS6A1130795,Volvo,S804dr
12995,2012,59030,Tiverton, RI,YV1622FS7C2134564,Volvo,S60FWD
12988,2012,62372,Wellesley, MA,YV1622FS2C2133936,Volvo,S60FWD
8498,2007,60559,Arlington, TX,YV1RS592072608144,Volvo,S604dr
17540,2015,30348,San Jose, CA,YV126MFAXF2303602,Volvo,S60T5
11720,2012,76951,Auburn, IN,YV1622FS6C2021205,Volvo,S60FWD
