Price,Year,Mileage,Region,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_region,max_price_region,min_price_region,std_price_region,mean_price_sc,max_price_sc,min_price_sc,std_price_sc,mean_price_mm,max_price_mm,min_price_mm,std_price_mm
13495,2013,8550,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,11328.333333333334,13495,9495,2020.7259421636904,23098.434370771312,46015,2195,6402.635292209773
9950,2009,34146,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,29206.3,44380,9950,10045.436355214573,7842.962962962963,15998,3500,3108.932519549293
13979,2012,7252,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,13979.0,13979,13979,0.0,13028.6091954023,21900,8499,2301.503322433029
15499,2014,9747,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,15499.0,15499,15499,,23098.434370771312,46015,2195,6402.635292209773
10995,2013,57178,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,11328.333333333334,13495,9495,2020.7259421636904,23098.434370771312,46015,2195,6402.635292209773
5549,2009,93515,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,5549.0,5549,5549,,6972.0,10890,4477,3435.162150466845
17900,2015,17618,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25355.382352941175,48000,7750,6714.188964829388,23631.393063583815,39425,13700,3810.6014916707954
11499,2010,34728,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,12999.0,14499,11499,2121.3203435596424,10071.65648854962,24995,1995,4154.963833538779
6991,2006,67263,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25178.64,46291,6991,9054.684233772776,6079.8,7400,3751,1196.8784213760207
4995,2008,92911,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,24492.25,42985,4995,14667.798722274003,7842.962962962963,15998,3500,3108.932519549293
6987,2007,93781,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,20986.0,32985,6987,13440.089335020559,7773.515151515152,12751,2992,2042.4824681195569
14999,2014,25582,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,11330.333333333334,14999,6997,4042.19461843852,23098.434370771312,46015,2195,6402.635292209773
5500,2005,80724,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,9116.5,26897,2995,6147.288499325486,5802.725490196079,19995,1995,2915.243585558033
6995,2009,93618,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,10894.384615384615,33494,2995,6805.158714251553,7773.515151515152,12751,2992,2042.4824681195569
14993,2014,37562,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25381.55,48993,6493,10876.408138601453,16320.5,20489,13900,2896.7964489529923
5488,2005,81626,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,13960.666666666666,27400,5488,11770.07941066386,5802.725490196079,19995,1995,2915.243585558033
15795,2012,33465,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,16777.333333333332,40988,6999,12526.348688531172,10071.65648854962,24995,1995,4154.963833538779
6995,2008,72655,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,6861.666666666667,7295,6295,513.1601439446886,7842.962962962963,15998,3500,3108.932519549293
5997,2006,87940,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,18694.266666666666,42998,5997,10175.204662502349,6079.8,7400,3751,1196.8784213760207
9000,2012,106572,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,9000.0,9000,9000,,13028.6091954023,21900,8499,2301.503322433029
10000,2009,77193,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,10000.0,10000,10000,,10071.65648854962,24995,1995,4154.963833538779
12713,2014,55814,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,13353.5,13994,12713,905.8037866999674,23098.434370771312,46015,2195,6402.635292209773
11967,2011,63876,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25619.777777777777,47896,11967,10547.690443620559,10071.65648854962,24995,1995,4154.963833538779
12000,2010,46887,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,23568.809523809523,50000,7995,8840.80905584465,10071.65648854962,24995,1995,4154.963833538779
15800,2012,14013,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,15800.0,15800,15800,,13028.6091954023,21900,8499,2301.503322433029
10499,2011,73799,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25381.55,48993,6493,10876.408138601453,7773.515151515152,12751,2992,2042.4824681195569
12803,2013,49232,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25178.64,46291,6991,9054.684233772776,7842.962962962963,15998,3500,3108.932519549293
11995,2012,58403,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,11995.0,11995,11995,,13028.6091954023,21900,8499,2301.503322433029
13995,2015,52384,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25986.76923076923,47395,5999,12816.367427069225,23631.393063583815,39425,13700,3810.6014916707954
9977,2009,65684,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,9117.666666666666,12988,4388,4363.924877141371,10071.65648854962,24995,1995,4154.963833538779
4995,2005,75592,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,4870.0,6995,3495,1547.847968417226,5802.725490196079,19995,1995,2915.243585558033
8750,2008,71471,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,7883.333333333333,8750,6950,901.8499505645788,7773.515151515152,12751,2992,2042.4824681195569
13481,2012,50473,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,16944.2,33995,6690,10238.32558087503,23098.434370771312,46015,2195,6402.635292209773
6995,2006,72034,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25535.03448275862,61980,6995,13808.689087679433,5802.725490196079,19995,1995,2915.243585558033
4995,2008,103100,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,14400.0,30995,4995,7832.577800443479,7842.962962962963,15998,3500,3108.932519549293
4999,2007,109108,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,13683.29411764706,39995,1999,11274.188522709217,7773.515151515152,12751,2992,2042.4824681195569
