Price,Year,Mileage,City,State,Vin,Make,Model
7980,2009,38699,West Chester, PA,WVWJK73C89P037721,Volkswagen,Passat
6495,2008,50045,San Antonio, TX,WVWAK93CX8E130858,Volkswagen,Passat
8881,2010,56707,Charlotte, NC,WVWJK9AN7AE143724,Volkswagen,Passat
5999,2010,85608,Oakland Park, FL,WVWJK7AN6AE058295,Volkswagen,Passat
7175,2009,63750,Chantilly, VA,WVWJK73C69P049172,Volkswagen,Passat
8990,2010,63837,Chamblee, GA,WVWJM7AN2AE066615,Volkswagen,Passat
7899,2008,48581,Indianapolis, IN,WVWJK73C28E159825,Volkswagen,Passat
3991,2005,71488,Hollywood, FL,WVWAD63B95E080353,Volkswagen,Passat
14999,2015,18489,Lindon, UT,3VW5T7AU3FM092537,Volkswagen,Golf
7495,2006,50515,Boardman, OH,WVWAK73C76P091748,Volkswagen,Passat
5900,2008,77586,Pompano Beach, FL,WVWJK73C78E067433,Volkswagen,Passat
7950,2009,67222,Albuquerque, NM,WVWJK73C49P057321,Volkswagen,Passat
4995,2007,81095,Lexington, KY,WVWAK93C37P118702,Volkswagen,Passat
9300,2006,31692,Mechanicsburg, PA,WVWEU93CX6P207645,Volkswagen,Passat
18580,2016,12076,Knoxville, TN,3VW4T7AU5GM015889,Volkswagen,Golf
7995,2009,79207,Schaumburg, IL,WVWJK73C99P053491,Volkswagen,Passat
7778,2009,76998,Devon, PA,WVWJK73C19E088487,Volkswagen,Passat
15990,2015,30950,San Antonio, TX,3VWTT7AU0FM063228,Volkswagen,Golf
16811,2016,22707,Tampa, FL,3VWYT7AU7GM023395,Volkswagen,Golf
7997,2008,64479,Niagara Falls, NY,WVWAK73C28E028393,Volkswagen,Passat
5299,2009,96300,Riverdale, NJ,WVWJK73C19P012465,Volkswagen,Passat
7830,2007,58218,Torrance, CA,WVWAK73C77P023144,Volkswagen,Passat
7495,2006,44300,Taunton, MA,WVWAK73C56P159156,Volkswagen,Passat
17988,2015,7343,Leesburg, VA,3VW4T7AU9FM043256,Volkswagen,Golf
9898,2010,59625,Santa Clara, CA,WVWJM7AN7AE083099,Volkswagen,Passat
19950,2017,8265,Edmonds, WA,3VW4T7AU2HM010182,Volkswagen,Golf
18995,2016,12973,New Bern, NC,3VW5T7AU1GM052961,Volkswagen,Golf
7995,2010,75492,Thomasville, GA,WVWJM7ANXAE111915,Volkswagen,Passat
7999,2006,57071,Franklin, WI,WVWAK73C36P218348,Volkswagen,Passat
7494,2008,73867,Brooksville, FL,WVWAK73C88P041699,Volkswagen,Passat
6400,2008,82173,Orland Park, IL,WVWAK73C58P049484,Volkswagen,Passat
19000,2016,11638,Columbia, Md,3VWYT7AUXGM068315,Volkswagen,Golf
5995,2008,83129,Arlington, TX,WVWAK73C28E158769,Volkswagen,Passat
19977,2017,2102,Denton, TX,3VW5T7AU5HM053791,Volkswagen,Golf
6990,2010,90397,Hasbrouck Heights, NJ,WVWJM7ANXAP051428,Volkswagen,Passat
7999,2015,40816,Hialeah, FL,1VWAT7A39FC044211,Volkswagen,Passat4dr
16999,2016,13290,Miami, FL,3VW5T7AU9GM017763,Volkswagen,Golf
6898,2008,91316,Franklin, WI,WVWUK73C88E036205,Volkswagen,Passat
19900,2017,2220,Dallas, GA,3VW5T7AU3HM030302,Volkswagen,Golf
6888,2014,31421,Long Island City, NY,3VW2K7AJ3EM408254,Volkswagen,Jetta
